Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/~/in-cse/in-name/AE-AC/AC-KH00-00/Data/la,21,0,246000.0,213306.6006047617,4913.190041996131,338804.2785880025,294.0,0.002916600503976436,0.0,246000,260000,279000,282000,314000,334000,339000,339000,339000,339000,339000
GET,/~/in-cse/in-name/AE-AC/AC-KH01-00/Data/la,43,0,237000.0,211004.72711223186,5376.848122999945,386849.81196300214,294.0,0.005972086746237464,0.0,237000,278000,308000,328000,369000,376000,387000,387000,387000,387000,387000
GET,/~/in-cse/in-name/AE-AC/AC-KH02-00/Data/la,31,0,252000.0,234095.16182312914,24242.79347799893,366871.99201000476,294.0,0.004305457886822358,0.0,252000,305000,321000,338000,346000,363000,367000,367000,367000,367000,367000
GET,/~/in-cse/in-name/AE-AC/AC-KH03-00/Data/la,26,0,246000.0,228767.8841385,13931.969212004333,385800.18319499504,294.0,0.0036110291953993967,0.0,252000,301000,328000,329000,367000,384000,386000,386000,386000,386000,386000
GET,/~/in-cse/in-name/AE-AC/AC-KH04-00/Data/la,36,0,211000.0,210715.55904672155,5178.656550000596,372697.2603349932,294.0,0.004999886578245319,0.0,260000,287000,302000,309000,341000,353000,373000,373000,373000,373000,373000
GET,/~/in-cse/in-name/AE-AC/AC-KH05-00/Data/la,35,0,260000.0,223020.61032617142,12161.291582000558,368375.4488800041,294.0,0.004861000839960727,0.0,260000,280000,329000,335000,351000,357000,368000,368000,368000,368000,368000
GET,/~/in-cse/in-name/AE-AC/AC-KH06-00/Data/la,34,0,263000.0,220852.34206273506,5187.339361997147,366622.9623120016,294.0,0.004722115101676134,0.0,281000,310000,329000,338000,358000,365000,367000,367000,367000,367000,367000
GET,/~/in-cse/in-name/AE-AC/AC-KH07-00/Data/la,36,0,192000.0,186119.1986392496,4750.228177996178,357845.82145299646,292.0,0.004999886578245319,0.0,200000,249000,288000,300000,319000,357000,358000,358000,358000,358000,358000
GET,/~/in-cse/in-name/AE-AC/AC-KH08-00/Data/la,33,0,258000.0,234818.14323454569,47578.88056599768,373165.6532969937,294.0,0.004583229363391542,0.0,258000,287000,300000,328000,358000,361000,373000,373000,373000,373000,373000
GET,/~/in-cse/in-name/AE-AC/AC-KH09-00/Data/la,33,0,229000.0,211409.58797772703,13586.953730999085,378742.1960080028,294.0,0.004583229363391542,0.0,229000,261000,291000,315000,357000,366000,379000,379000,379000,379000,379000
GET,/~/in-cse/in-name/AE-AC/AC-KH10-00/Data/la,27,0,212000.0,182964.25603792616,4849.147467997682,335545.84171900206,294.0,0.003749914933683989,0.0,212000,235000,265000,265000,290000,325000,336000,336000,336000,336000,336000
