time,CONTAINER ID,NAME,CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0,279b3cf3c92b,acme-acme-1,0.12%,128.9MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,20
5,279b3cf3c92b,acme-acme-1,0.31%,128.9MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,20
10,279b3cf3c92b,acme-acme-1,0.31%,128.9MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,20
15,279b3cf3c92b,acme-acme-1,0.12%,128.9MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,20
20,279b3cf3c92b,acme-acme-1,0.12%,128.9MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,20
25,279b3cf3c92b,acme-acme-1,0.32%,128.9MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,20
30,279b3cf3c92b,acme-acme-1,0.12%,128.9MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,20
35,279b3cf3c92b,acme-acme-1,0.12%,128.9MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,20
40,279b3cf3c92b,acme-acme-1,0.32%,129MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,20
45,279b3cf3c92b,acme-acme-1,12.46%,128.9MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,20
50,279b3cf3c92b,acme-acme-1,0.12%,128.8MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,20
55,279b3cf3c92b,acme-acme-1,0.12%,128.8MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,20
60,279b3cf3c92b,acme-acme-1,0.31%,128.8MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,20
65,279b3cf3c92b,acme-acme-1,0.32%,128.8MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,20
70,279b3cf3c92b,acme-acme-1,7.64%,129.2MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,25
75,279b3cf3c92b,acme-acme-1,0.12%,128.8MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,21
80,279b3cf3c92b,acme-acme-1,10.13%,128.9MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,21
85,279b3cf3c92b,acme-acme-1,0.31%,128.8MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,21
90,279b3cf3c92b,acme-acme-1,13.79%,129MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,23
95,279b3cf3c92b,acme-acme-1,0.12%,128.8MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.2GB,21
100,279b3cf3c92b,acme-acme-1,0.32%,128.8MiB / 15.32GiB,0.82%,266MB / 300MB,33.9MB / 41.3GB,21
