Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cnt100808482145825178,214,9,12000.0,13197.189115747635,19.346254000993213,38011.64246600092,353.0700934579439,0.02972240899641755,0.0012500078549895232,12000,18000,21000,23000,29000,31000,33000,35000,38000,38000,38000
POST,/cnt1024683343031389856,237,11,9800.0,12718.641149227815,20.77283199832891,41297.33183600183,360.23628691983123,0.03291687351472411,0.0015277873783205282,9800,17000,21000,23000,29000,32000,36000,37000,41000,41000,41000
POST,/cnt1033151147313831065,225,10,15000.0,14639.208109559906,20.430216998647666,41693.44388099853,357.46222222222224,0.03125019637473808,0.0013888976166550257,15000,21000,23000,24000,28000,31000,36000,37000,42000,42000,42000
POST,/cnt1033516048244148832,209,8,12000.0,13342.531188516561,20.194723998429254,39468.28490700136,348.60287081339715,0.02902796018809004,0.0011111180933240205,12000,17000,21000,24000,28000,31000,34000,35000,39000,39000,39000
POST,/cnt1038492309170976380,245,13,13000.0,13525.408565914242,16.54720599981374,44324.36628999858,369.7918367346939,0.03402799160804813,0.0018055669016515334,13000,19000,22000,25000,28000,32000,37000,40000,44000,44000,44000
POST,/cnt1076290676733600949,260,14,11000.0,12923.875266715337,21.72789599717362,43462.309919999825,370.92692307692306,0.03611133803303067,0.001944456663317036,11000,17000,20000,23000,28000,30000,35000,41000,43000,43000,43000
POST,/cnt1091635907132399128,209,5,11000.0,12762.023978598194,16.970345001027454,38865.7016740035,328.07655502392345,0.02902796018809004,0.0006944488083275129,11000,17000,21000,23000,28000,31000,34000,37000,39000,39000,39000
POST,/cnt1100212041076276489,232,11,11000.0,12750.692977715613,20.725784001115244,43604.734178999934,361.6551724137931,0.032222424706396594,0.0015277873783205282,11000,17000,21000,23000,27000,31000,36000,38000,44000,44000,44000
POST,/cnt1104335769966220448,217,5,14000.0,13606.942542834126,21.291647000907687,46716.15038500022,326.7834101382488,0.03013907828141406,0.0006944488083275129,14000,19000,22000,25000,28000,31000,34000,36000,47000,47000,47000
POST,/cnt1111957044383167561,239,6,13000.0,13300.611550100335,15.909471003396902,43454.80654799758,329.77405857740587,0.03319465303805511,0.0008333385699930154,13000,18000,22000,24000,29000,33000,37000,39000,43000,43000,43000
POST,/cnt1147010068871611886,234,3,11000.0,12782.229246517029,19.552245998056605,38357.20760699769,312.1965811965812,0.0325002042297276,0.0004166692849965077,11000,17000,20000,23000,28000,33000,35000,36000,38000,38000,38000
POST,/cnt1168715890686871577,226,8,11000.0,13236.71933275668,20.061152998096077,39046.32942199896,344.49557522123894,0.03138908613640358,0.0011111180933240205,12000,19000,22000,24000,30000,35000,36000,37000,39000,39000,39000
POST,/cnt1208251455635601475,202,4,12000.0,13048.83667379696,19.631908002338605,36626.05372699909,322.21287128712873,0.02805573185643152,0.0005555590466620103,12000,17000,20000,24000,27000,31000,33000,34000,37000,37000,37000
POST,/cnt1213739191254392129,226,5,11000.0,13032.771780491068,21.521000999200623,45620.15017199883,325.51769911504425,0.03138908613640358,0.0006944488083275129,11000,18000,21000,25000,28000,31000,37000,41000,46000,46000,46000
POST,/cnt123595294910430595,218,4,12000.0,12491.347198362222,21.66415700048674,38606.63330200259,319.11467889908255,0.03027796804307956,0.0005555590466620103,12000,17000,19000,22000,28000,30000,32000,33000,39000,39000,39000
POST,/cnt1264797068440895976,232,10,14000.0,14379.795201029996,18.64374599972507,43713.61620699827,355.53879310344826,0.032222424706396594,0.0013888976166550257,14000,20000,23000,25000,29000,32000,39000,40000,44000,44000,44000
POST,/cnt1374914345427829277,220,9,12000.0,13384.985483154578,16.99102099883021,40324.80251800007,352.44545454545454,0.030555747566410565,0.0012500078549895232,13000,18000,23000,25000,28000,31000,33000,36000,40000,40000,40000
POST,/cnt1393556527426994269,224,8,13000.0,13775.578937776829,24.878628999431385,47413.540569999896,345.0,0.031111306613072577,0.0011111180933240205,13000,20000,22000,24000,29000,31000,36000,37000,47000,47000,47000
POST,/cnt1396623072072724501,242,5,12000.0,12852.703422491668,19.492739000270376,39990.493732002506,323.44214876033055,0.03361132232305162,0.0006944488083275129,12000,19000,22000,23000,27000,30000,33000,35000,40000,40000,40000
POST,/cnt1413865664561890378,229,6,13000.0,13254.262839240098,21.080915001221,35339.58019599959,331.3580786026201,0.031805755421400086,0.0008333385699930154,13000,19000,22000,24000,28000,30000,33000,35000,35000,35000,35000
