Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/Mobius/ae_ac/AC0/Data,567,1,11,11.957539426923235,5.067918998975074,82.5011889974121,295.363315696649,0.0787393605612571,0.00013887012444666156,11,12,13,13,14,16,24,31,83,83,83
POST,/Mobius/ae_ac/AC1/Data,626,0,11,100.12742521725356,3.7885570018261205,55284.16744600327,295.8338658146965,0.08693269790361013,0.0,11,12,13,13,14,16,22,26,55000,55000,55000
POST,/Mobius/ae_ac/AC10/Data,597,0,11,102.92295190958743,3.813015999185154,54524.425264000456,295.8157453936348,0.08290546429465695,0.0,11,12,12,13,14,15,19,27,55000,55000,55000
POST,/Mobius/ae_ac/AC100/Data,611,0,11,104.40494930451904,5.0244370031578,56669.13032299999,295.8199672667758,0.08484964603691021,0.0,11,12,13,13,14,16,19,23,57000,57000,57000
POST,/Mobius/ae_ac/AC101/Data,555,0,11,116.95913865389213,6.491262000054121,58363.73490400001,295.8054054054054,0.07707291906789716,0.0,11,12,13,13,14,16,19,29,58000,58000,58000
POST,/Mobius/ae_ac/AC102/Data,611,0,12,283.97009815873923,5.393751001975033,57999.690972999815,295.823240589198,0.08484964603691021,0.0,12,12,13,13,14,16,23,27,58000,58000,58000
POST,/Mobius/ae_ac/AC103/Data,617,1,11,11.75186118811063,1.6969150019576773,34.77854400262004,295.3419773095624,0.08568286678359018,0.00013887012444666156,11,12,13,13,14,15,18,22,35,35,35
POST,/Mobius/ae_ac/AC104/Data,568,0,11,114.99303546651403,4.76818399693002,58649.52444699884,295.8080985915493,0.07887823068570377,0.0,11,12,13,13,14,16,20,24,59000,59000,59000
POST,/Mobius/ae_ac/AC105/Data,602,0,11,105.79861632891378,4.936170000291895,56474.2119170005,295.8205980066445,0.08359981491689025,0.0,11,12,13,13,15,17,22,31,56000,56000,56000
POST,/Mobius/ae_ac/AC106/Data,569,1,11,109.83786296854205,5.49306799803162,55849.08299000017,295.3550087873462,0.07901710081015043,0.00013887012444666156,11,12,13,13,14,15,23,28,56000,56000,56000
POST,/Mobius/ae_ac/AC107/Data,652,0,11,11.77033202598598,4.331784999521915,34.57160999823827,295.8358895705521,0.09054332113922334,0.0,11,12,13,13,14,16,21,25,35,35,35
POST,/Mobius/ae_ac/AC108/Data,614,0,11,11.77714203089464,4.77210200187983,37.33203400042839,295.8241042345277,0.0852662564102502,0.0,11,12,13,13,14,16,20,26,37,37,37
POST,/Mobius/ae_ac/AC109/Data,609,0,11,97.4442070263528,4.375913998956094,52058.29084300058,295.8210180623974,0.08457190578801689,0.0,11,12,13,13,14,17,20,31,52000,52000,52000
POST,/Mobius/ae_ac/AC11/Data,582,0,11,11.951947955384549,4.761028001667,42.30427499715006,295.8127147766323,0.08082241242795703,0.0,11,12,13,13,14,16,22,32,42,42,42
POST,/Mobius/ae_ac/AC110/Data,621,0,11,104.62613300004618,4.283016998670064,57647.12927200162,295.82608695652175,0.08623834728137683,0.0,11,12,13,13,14,15,21,35,58000,58000,58000
