time,CONTAINER ID,NAME,CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0,a0088cc599a5,mobius-node-app-1,1.37%,464.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
5,a0088cc599a5,mobius-node-app-1,1.36%,464.9MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
10,a0088cc599a5,mobius-node-app-1,1.41%,465MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
15,a0088cc599a5,mobius-node-app-1,1.29%,465.1MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
20,a0088cc599a5,mobius-node-app-1,1.43%,464.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
25,a0088cc599a5,mobius-node-app-1,1.35%,465.1MiB / 15.32GiB,2.97%,2.65GB / 2.25GB,803kB / 0B,132
30,a0088cc599a5,mobius-node-app-1,2.27%,464.8MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
35,a0088cc599a5,mobius-node-app-1,1.46%,464.9MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
40,a0088cc599a5,mobius-node-app-1,1.40%,464.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
45,a0088cc599a5,mobius-node-app-1,2.43%,464.6MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
50,a0088cc599a5,mobius-node-app-1,2.08%,464.9MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
55,a0088cc599a5,mobius-node-app-1,1.43%,464.8MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
60,a0088cc599a5,mobius-node-app-1,1.36%,464.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
65,a0088cc599a5,mobius-node-app-1,1.42%,464.5MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
70,a0088cc599a5,mobius-node-app-1,2.13%,465.1MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
75,a0088cc599a5,mobius-node-app-1,3.43%,464.8MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
80,a0088cc599a5,mobius-node-app-1,1.41%,464.9MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
85,a0088cc599a5,mobius-node-app-1,4.35%,464.9MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
90,a0088cc599a5,mobius-node-app-1,3.35%,464.8MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
95,a0088cc599a5,mobius-node-app-1,3.46%,464.9MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
100,a0088cc599a5,mobius-node-app-1,4.29%,465.1MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
105,a0088cc599a5,mobius-node-app-1,4.53%,464.5MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
110,a0088cc599a5,mobius-node-app-1,2.19%,464.6MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
115,a0088cc599a5,mobius-node-app-1,7.43%,464.5MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
120,a0088cc599a5,mobius-node-app-1,1.44%,464.4MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
125,a0088cc599a5,mobius-node-app-1,4.27%,464.3MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
130,a0088cc599a5,mobius-node-app-1,2.45%,464.6MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
135,a0088cc599a5,mobius-node-app-1,3.55%,464.4MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
140,a0088cc599a5,mobius-node-app-1,6.22%,464.6MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
145,a0088cc599a5,mobius-node-app-1,1.46%,464.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
150,a0088cc599a5,mobius-node-app-1,3.60%,464.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
155,a0088cc599a5,mobius-node-app-1,2.60%,464.6MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
160,a0088cc599a5,mobius-node-app-1,3.81%,464.3MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
165,a0088cc599a5,mobius-node-app-1,5.17%,464.6MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
170,a0088cc599a5,mobius-node-app-1,4.29%,464.2MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
175,a0088cc599a5,mobius-node-app-1,5.90%,464.8MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
180,a0088cc599a5,mobius-node-app-1,2.24%,465MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
185,a0088cc599a5,mobius-node-app-1,2.62%,464.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
190,a0088cc599a5,mobius-node-app-1,4.94%,464.2MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
195,a0088cc599a5,mobius-node-app-1,1.74%,464.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
200,a0088cc599a5,mobius-node-app-1,4.91%,464.4MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
205,a0088cc599a5,mobius-node-app-1,5.37%,464.4MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
210,a0088cc599a5,mobius-node-app-1,6.11%,464.6MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
215,a0088cc599a5,mobius-node-app-1,1.55%,464.5MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
220,a0088cc599a5,mobius-node-app-1,5.45%,464.4MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
225,a0088cc599a5,mobius-node-app-1,3.60%,464.4MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
230,a0088cc599a5,mobius-node-app-1,3.28%,463.8MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
235,a0088cc599a5,mobius-node-app-1,4.27%,463.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
240,a0088cc599a5,mobius-node-app-1,3.59%,463.5MiB / 15.32GiB,2.95%,2.65GB / 2.25GB,803kB / 0B,132
245,a0088cc599a5,mobius-node-app-1,4.71%,463.5MiB / 15.32GiB,2.95%,2.65GB / 2.25GB,803kB / 0B,132
250,a0088cc599a5,mobius-node-app-1,1.52%,463.6MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
255,a0088cc599a5,mobius-node-app-1,5.62%,463.6MiB / 15.32GiB,2.95%,2.65GB / 2.25GB,803kB / 0B,132
260,a0088cc599a5,mobius-node-app-1,4.43%,463.6MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
265,a0088cc599a5,mobius-node-app-1,5.22%,463.9MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
270,a0088cc599a5,mobius-node-app-1,3.46%,463.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
275,a0088cc599a5,mobius-node-app-1,7.31%,463.5MiB / 15.32GiB,2.95%,2.65GB / 2.25GB,803kB / 0B,132
280,a0088cc599a5,mobius-node-app-1,6.51%,463.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
285,a0088cc599a5,mobius-node-app-1,5.67%,463.6MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
290,a0088cc599a5,mobius-node-app-1,8.55%,463.8MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
295,a0088cc599a5,mobius-node-app-1,6.51%,463.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
300,a0088cc599a5,mobius-node-app-1,2.90%,463.8MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
305,a0088cc599a5,mobius-node-app-1,4.17%,463.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
310,a0088cc599a5,mobius-node-app-1,2.43%,463.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
315,a0088cc599a5,mobius-node-app-1,5.40%,464.1MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
320,a0088cc599a5,mobius-node-app-1,7.60%,463.9MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
325,a0088cc599a5,mobius-node-app-1,5.89%,463.7MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
330,a0088cc599a5,mobius-node-app-1,2.84%,464.1MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
335,a0088cc599a5,mobius-node-app-1,3.71%,463.9MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
340,a0088cc599a5,mobius-node-app-1,6.13%,464MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
345,a0088cc599a5,mobius-node-app-1,9.14%,464.2MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
350,a0088cc599a5,mobius-node-app-1,5.25%,464.3MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
355,a0088cc599a5,mobius-node-app-1,4.86%,464.4MiB / 15.32GiB,2.96%,2.65GB / 2.25GB,803kB / 0B,132
