Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/~/in-cse/in-name/AE-AC/AC-KH00-00/Data,23,0,348000.0,318818.8341770463,47962.10425699246,551288.9150270203,390.9130434782609,0.003194395871817285,0.0,348000,385000,420000,434000,495000,528000,551000,551000,551000,551000,551000
POST,/~/in-cse/in-name/AE-AC/AC-KH01-00/Data,21,0,328000.0,345820.79809147405,10422.077751980396,1193256.3651559758,390.9047619047619,0.002916622317746217,0.0,328000,376000,397000,399000,473000,1185000,1193000,1193000,1193000,1193000,1193000
POST,/~/in-cse/in-name/AE-AC/AC-KH02-00/Data,16,0,245000.0,263792.5311454346,6604.440088995034,544615.1582839957,390.5,0.0022221884325685465,0.0,276000,354000,423000,423000,465000,545000,545000,545000,545000,545000,545000
POST,/~/in-cse/in-name/AE-AC/AC-KH03-00/Data,20,1,380000.0,432199.64478355105,12374.151367985178,1242375.5814220058,372.4,0.0027777355407106828,0.00013888677703553415,395000,420000,485000,877000,1180000,1242000,1242000,1242000,1242000,1242000,1242000
POST,/~/in-cse/in-name/AE-AC/AC-KH04-00/Data,15,0,269000.0,296236.5229328047,25594.34860901092,546956.2539840117,390.73333333333335,0.002083301655533012,0.0,269000,437000,446000,462000,511000,547000,547000,547000,547000,547000,547000
POST,/~/in-cse/in-name/AE-AC/AC-KH05-00/Data,15,0,308000.0,275877.6536632039,55007.14375000098,514659.3675110198,390.8666666666667,0.002083301655533012,0.0,308000,397000,432000,451000,496000,515000,515000,515000,515000,515000,515000
POST,/~/in-cse/in-name/AE-AC/AC-KH06-00/Data,20,0,224000.0,261825.04345110207,26651.659056020435,490762.1000559884,390.9,0.0027777355407106828,0.0,288000,339000,401000,445000,466000,491000,491000,491000,491000,491000,491000
POST,/~/in-cse/in-name/AE-AC/AC-KH07-00/Data,19,0,370000.0,314486.2095828454,13882.637229020474,566756.1714190233,390.6842105263158,0.002638848763675149,0.0,370000,431000,465000,486000,548000,567000,567000,567000,567000,567000,567000
POST,/~/in-cse/in-name/AE-AC/AC-KH08-00/Data,13,0,351000.0,328696.0422545291,100812.51826998778,444646.0777829925,390.84615384615387,0.001805528101461944,0.0,351000,367000,367000,385000,427000,445000,445000,445000,445000,445000,445000
POST,/~/in-cse/in-name/AE-AC/AC-KH09-00/Data,10,0,171000.0,258314.08368079868,41807.776580011705,551050.2120130113,390.6,0.0013888677703553414,0.0,313000,380000,456000,477000,551000,551000,551000,551000,551000,551000,551000
POST,/~/in-cse/in-name/AE-AC/AC-KH10-00/Data,21,0,383000.0,366566.27897452423,38296.839018003084,572682.6948270027,390.6190476190476,0.002916622317746217,0.0,383000,482000,484000,515000,528000,563000,573000,573000,573000,573000,573000
POST,/~/in-cse/in-name/AE-AC/AC-KH100-00/Data,11,0,275000.0,266492.5094594497,36148.17549401778,449340.2296319837,390.8181818181818,0.0015277545473908756,0.0,275000,368000,428000,428000,433000,449000,449000,449000,449000,449000,449000
POST,/~/in-cse/in-name/AE-AC/AC-KH101-00/Data,27,0,329000.0,333045.25393618725,9114.40246301936,582583.9395340008,390.9259259259259,0.003749942979959422,0.0,329000,356000,426000,448000,512000,553000,583000,583000,583000,583000,583000
POST,/~/in-cse/in-name/AE-AC/AC-KH102-00/Data,28,0,273000.0,270934.0533087525,74829.16004501749,521353.341265989,390.7857142857143,0.0038888297569949558,0.0,274000,343000,417000,429000,491000,495000,521000,521000,521000,521000,521000
POST,/~/in-cse/in-name/AE-AC/AC-KH103-00/Data,18,0,354000.0,334976.5650932257,43008.245571982116,566181.1182490201,390.8888888888889,0.0024999619866396144,0.0,390000,428000,443000,446000,503000,566000,566000,566000,566000,566000,566000
POST,/~/in-cse/in-name/AE-AC/AC-KH104-00/Data,19,0,209000.0,234108.61040984653,18052.327278011944,573653.6394639988,390.7894736842105,0.002638848763675149,0.0,209000,265000,371000,383000,550000,574000,574000,574000,574000,574000,574000
POST,/~/in-cse/in-name/AE-AC/AC-KH105-00/Data,18,0,325000.0,326591.44277594495,72162.55042998819,576664.2344000284,391.0,0.0024999619866396144,0.0,325000,351000,470000,477000,537000,577000,577000,577000,577000,577000,577000
POST,/~/in-cse/in-name/AE-AC/AC-KH106-00/Data,23,0,341000.0,322103.79407799843,101656.12606200739,542618.0301889835,390.82608695652175,0.003194395871817285,0.0,341000,405000,442000,447000,478000,480000,543000,543000,543000,543000,543000
POST,/~/in-cse/in-name/AE-AC/AC-KH107-00/Data,20,0,266000.0,274260.0828317503,35272.800895007094,544780.2969289769,390.8,0.0027777355407106828,0.0,282000,299000,325000,397000,527000,545000,545000,545000,545000,545000,545000
POST,/~/in-cse/in-name/AE-AC/AC-KH108-00/Data,16,0,256000.0,271974.06797162513,22423.37075099931,488995.2387170051,390.875,0.0022221884325685465,0.0,305000,390000,398000,398000,483000,489000,489000,489000,489000,489000,489000
POST,/~/in-cse/in-name/AE-AC/AC-KH109-00/Data,21,0,160000.0,208250.353427238,5928.431907988852,506731.89770101453,390.8095238095238,0.002916622317746217,0.0,160000,267000,319000,319000,496000,503000,507000,507000,507000,507000,507000
POST,/~/in-cse/in-name/AE-AC/AC-KH11-00/Data,16,0,335000.0,334776.734383182,31351.891404978232,508871.6589079995,390.75,0.0022221884325685465,0.0,355000,368000,500000,500000,506000,509000,509000,509000,509000,509000,509000
POST,/~/in-cse/in-name/AE-AC/AC-KH110-00/Data,21,0,307000.0,292173.4500261428,7645.706906012492,549891.0399110173,390.8095238095238,0.002916622317746217,0.0,307000,354000,397000,430000,502000,510000,550000,550000,550000,550000,550000
POST,/~/in-cse/in-name/AE-AC/AC-KH111-00/Data,25,0,287000.0,265346.0269748431,22386.856157012517,558559.6578239929,390.68,0.0034721694258883534,0.0,287000,349000,428000,472000,522000,555000,559000,559000,559000,559000,559000
POST,/~/in-cse/in-name/AE-AC/AC-KH112-00/Data,17,0,440000.0,357959.49527194124,33400.291544996435,539199.5642649999,390.52941176470586,0.0023610752096040804,0.0,440000,493000,495000,510000,523000,539000,539000,539000,539000,539000,539000
POST,/~/in-cse/in-name/AE-AC/AC-KH113-00/Data,24,0,310000.0,297744.0598308785,13686.629838019144,526490.0625199953,389.5833333333333,0.0033332826488528195,0.0,321000,360000,421000,428000,477000,505000,526000,526000,526000,526000,526000
POST,/~/in-cse/in-name/AE-AC/AC-KH114-00/Data,34,0,273000.0,276548.3017751471,9697.248662996572,583152.2766280104,390.94117647058823,0.004722150419208161,0.0,294000,365000,414000,466000,550000,562000,583000,583000,583000,583000,583000
POST,/~/in-cse/in-name/AE-AC/AC-KH115-00/Data,19,0,261000.0,264191.5805536831,18804.378912987886,536488.8459329959,390.7894736842105,0.002638848763675149,0.0,261000,358000,433000,452000,471000,536000,536000,536000,536000,536000,536000
POST,/~/in-cse/in-name/AE-AC/AC-KH116-00/Data,17,0,201000.0,214709.8313655348,26603.780494013336,502310.54784500157,390.88235294117646,0.0023610752096040804,0.0,201000,264000,299000,345000,458000,502000,502000,502000,502000,502000,502000
POST,/~/in-cse/in-name/AE-AC/AC-KH117-00/Data,16,0,269000.0,274327.97928837314,61390.9241159854,541033.637495013,390.75,0.0022221884325685465,0.0,283000,372000,442000,442000,483000,541000,541000,541000,541000,541000,541000
POST,/~/in-cse/in-name/AE-AC/AC-KH118-00/Data,14,0,165000.0,210496.44714813825,27866.72900200938,494563.6297019955,391.0,0.0019444148784974779,0.0,189000,194000,329000,410000,450000,495000,495000,495000,495000,495000,495000
POST,/~/in-cse/in-name/AE-AC/AC-KH119-00/Data,16,0,214000.0,265655.46129368886,16423.126121982932,535907.3791879928,390.75,0.0022221884325685465,0.0,324000,389000,448000,448000,451000,536000,536000,536000,536000,536000,536000
POST,/~/in-cse/in-name/AE-AC/AC-KH12-00/Data,15,0,299000.0,308489.0519209962,84171.21233599028,565705.1066570275,389.8666666666667,0.002083301655533012,0.0,299000,370000,427000,478000,559000,566000,566000,566000,566000,566000,566000
POST,/~/in-cse/in-name/AE-AC/AC-KH120-00/Data,16,0,166000.0,231399.65666149877,25344.74686201429,526787.4960259942,390.75,0.0022221884325685465,0.0,191000,327000,380000,380000,483000,527000,527000,527000,527000,527000,527000
POST,/~/in-cse/in-name/AE-AC/AC-KH121-00/Data,10,0,153000.0,178774.52980660019,5056.961069989484,399504.4573879859,390.8,0.0013888677703553414,0.0,196000,234000,303000,345000,400000,400000,400000,400000,400000,400000,400000
POST,/~/in-cse/in-name/AE-AC/AC-KH122-00/Data,21,0,260000.0,296907.2665745694,38529.28714000154,531836.178166006,390.7142857142857,0.002916622317746217,0.0,260000,375000,410000,460000,528000,530000,532000,532000,532000,532000,532000
POST,/~/in-cse/in-name/AE-AC/AC-KH123-00/Data,17,0,155000.0,147156.95364211395,4964.357584976824,373551.90375298844,390.7647058823529,0.0023610752096040804,0.0,155000,200000,241000,248000,312000,374000,374000,374000,374000,374000,374000
POST,/~/in-cse/in-name/AE-AC/AC-KH124-00/Data,21,0,234000.0,258925.17220576355,14994.233642006293,536832.2118479991,390.9047619047619,0.002916622317746217,0.0,234000,357000,419000,443000,505000,508000,537000,537000,537000,537000,537000
POST,/~/in-cse/in-name/AE-AC/AC-KH125-00/Data,23,0,267000.0,260538.34293525966,6032.266199006699,546445.7335000043,390.7391304347826,0.003194395871817285,0.0,267000,340000,389000,394000,470000,479000,546000,546000,546000,546000,546000
POST,/~/in-cse/in-name/AE-AC/AC-KH126-00/Data,14,0,301000.0,293302.5546092852,67670.86784497951,498446.9713360013,390.85714285714283,0.0019444148784974779,0.0,356000,419000,421000,434000,487000,498000,498000,498000,498000,498000,498000
POST,/~/in-cse/in-name/AE-AC/AC-KH127-00/Data,18,0,254000.0,246035.7989871684,5467.580102995271,495520.50845499616,390.0,0.0024999619866396144,0.0,277000,340000,408000,410000,417000,496000,496000,496000,496000,496000,496000
POST,/~/in-cse/in-name/AE-AC/AC-KH128-00/Data,17,0,197000.0,218569.68064211748,26798.217353993095,486644.65325698256,389.88235294117646,0.0023610752096040804,0.0,197000,282000,305000,322000,461000,487000,487000,487000,487000,487000,487000
POST,/~/in-cse/in-name/AE-AC/AC-KH129-00/Data,8,0,197000.0,271956.76264374924,50055.32289799885,497907.9821220075,390.75,0.0011110942162842732,0.0,236000,434000,497000,497000,498000,498000,498000,498000,498000,498000,498000
