time,CONTAINER ID,NAME,CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0,784d7e76854f,multi-om2m-mongo-db-1,0.53%,481.5MiB / 15.32GiB,3.07%,909MB / 4.1GB,100MB / 765MB,134
5,784d7e76854f,multi-om2m-mongo-db-1,0.51%,481.5MiB / 15.32GiB,3.07%,909MB / 4.1GB,100MB / 765MB,134
10,784d7e76854f,multi-om2m-mongo-db-1,448.89%,481.5MiB / 15.32GiB,3.07%,909MB / 4.1GB,100MB / 765MB,134
15,784d7e76854f,multi-om2m-mongo-db-1,421.62%,481.5MiB / 15.32GiB,3.07%,909MB / 4.1GB,100MB / 766MB,134
20,784d7e76854f,multi-om2m-mongo-db-1,448.76%,481.5MiB / 15.32GiB,3.07%,909MB / 4.1GB,100MB / 766MB,134
25,784d7e76854f,multi-om2m-mongo-db-1,314.02%,481.2MiB / 15.32GiB,3.07%,910MB / 4.1GB,100MB / 766MB,134
30,784d7e76854f,multi-om2m-mongo-db-1,320.48%,481.2MiB / 15.32GiB,3.07%,910MB / 4.1GB,100MB / 766MB,134
35,784d7e76854f,multi-om2m-mongo-db-1,295.00%,481.2MiB / 15.32GiB,3.07%,910MB / 4.1GB,100MB / 766MB,134
40,784d7e76854f,multi-om2m-mongo-db-1,338.49%,481.2MiB / 15.32GiB,3.07%,910MB / 4.1GB,100MB / 766MB,134
45,784d7e76854f,multi-om2m-mongo-db-1,314.43%,481.5MiB / 15.32GiB,3.07%,910MB / 4.1GB,100MB / 767MB,134
50,784d7e76854f,multi-om2m-mongo-db-1,449.86%,481.5MiB / 15.32GiB,3.07%,910MB / 4.1GB,100MB / 767MB,134
55,784d7e76854f,multi-om2m-mongo-db-1,934.54%,481.4MiB / 15.32GiB,3.07%,910MB / 4.1GB,100MB / 767MB,134
60,784d7e76854f,multi-om2m-mongo-db-1,807.37%,481.4MiB / 15.32GiB,3.07%,911MB / 4.1GB,100MB / 767MB,134
65,784d7e76854f,multi-om2m-mongo-db-1,924.64%,481.4MiB / 15.32GiB,3.07%,911MB / 4.1GB,100MB / 768MB,134
70,784d7e76854f,multi-om2m-mongo-db-1,887.93%,481.3MiB / 15.32GiB,3.07%,911MB / 4.1GB,100MB / 768MB,134
75,784d7e76854f,multi-om2m-mongo-db-1,835.42%,481.2MiB / 15.32GiB,3.07%,911MB / 4.1GB,100MB / 768MB,134
80,784d7e76854f,multi-om2m-mongo-db-1,784.63%,481.2MiB / 15.32GiB,3.07%,911MB / 4.11GB,100MB / 768MB,134
85,784d7e76854f,multi-om2m-mongo-db-1,859.58%,481.2MiB / 15.32GiB,3.07%,911MB / 4.11GB,100MB / 768MB,134
90,784d7e76854f,multi-om2m-mongo-db-1,976.92%,481.2MiB / 15.32GiB,3.07%,912MB / 4.11GB,100MB / 768MB,134
95,784d7e76854f,multi-om2m-mongo-db-1,877.58%,481.4MiB / 15.32GiB,3.07%,912MB / 4.11GB,100MB / 770MB,134
100,784d7e76854f,multi-om2m-mongo-db-1,1187.62%,481.5MiB / 15.32GiB,3.07%,912MB / 4.11GB,100MB / 770MB,134
105,784d7e76854f,multi-om2m-mongo-db-1,1189.15%,481MiB / 15.32GiB,3.07%,912MB / 4.11GB,100MB / 770MB,134
110,784d7e76854f,multi-om2m-mongo-db-1,1193.38%,481MiB / 15.32GiB,3.07%,912MB / 4.11GB,100MB / 770MB,134
115,784d7e76854f,multi-om2m-mongo-db-1,1186.09%,481MiB / 15.32GiB,3.07%,913MB / 4.11GB,100MB / 770MB,134
120,784d7e76854f,multi-om2m-mongo-db-1,1128.95%,481.2MiB / 15.32GiB,3.07%,913MB / 4.11GB,100MB / 770MB,134
125,784d7e76854f,multi-om2m-mongo-db-1,1184.47%,481MiB / 15.32GiB,3.07%,913MB / 4.11GB,100MB / 770MB,134
130,784d7e76854f,multi-om2m-mongo-db-1,1183.06%,481MiB / 15.32GiB,3.07%,913MB / 4.11GB,100MB / 770MB,134
135,784d7e76854f,multi-om2m-mongo-db-1,1193.23%,481.1MiB / 15.32GiB,3.07%,913MB / 4.11GB,100MB / 770MB,134
140,784d7e76854f,multi-om2m-mongo-db-1,1193.08%,481.2MiB / 15.32GiB,3.07%,914MB / 4.11GB,100MB / 772MB,134
145,784d7e76854f,multi-om2m-mongo-db-1,1201.47%,481.1MiB / 15.32GiB,3.07%,914MB / 4.11GB,100MB / 772MB,134
150,784d7e76854f,multi-om2m-mongo-db-1,1188.97%,481.1MiB / 15.32GiB,3.07%,914MB / 4.12GB,100MB / 772MB,134
155,784d7e76854f,multi-om2m-mongo-db-1,1193.11%,481.1MiB / 15.32GiB,3.07%,914MB / 4.12GB,100MB / 772MB,134
