Method,Name,Error,Occurrences
GET,/~/in-cse/in-name/AE-SR/SR-AC-KH00-06/Data/la,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 10.3.1.117 timed out. (connect timeout=None)')",2
GET,/~/in-cse/in-name/AE-AQ/AQ-AN00-00/Data/la,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 10.3.1.117 timed out. (connect timeout=None)')",2
GET,/~/in-cse/in-name/AE-SR/SR-AQ-VN01-01/Data/la,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 10.3.1.117 timed out. (connect timeout=None)')",1
GET,/~/in-cse/in-name/AE-EM/EM-NC-NM00-00/Data/la,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 10.3.1.117 timed out. (connect timeout=None)')",1
GET,/~/in-cse/in-name/AE-WN/WN-L034-30/Data/la,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/~/in-cse/in-name/AE-SR/SR-AC-KH02-20/Data/la,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 10.3.1.117 timed out. (connect timeout=None)')",1
GET,/~/in-cse/in-name/AE-CM/CM-MG99-00/Data/la,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/~/in-cse/in-name/AE-WN/WN-L007-01/Data/la,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 10.3.1.117 timed out. (connect timeout=None)')",2
GET,/~/in-cse/in-name/AE-EM/EM-NC-VN92-00/Data/la,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 10.3.1.117 timed out. (connect timeout=None)')",3
GET,/~/in-cse/in-name/AE-WN/WN-L027-01/Data/la,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/~/in-cse/in-name/AE-SR/SR-AC-KH01-02/Data/la,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 10.3.1.117 timed out. (connect timeout=None)')",1
GET,/~/in-cse/in-name/AE-WM/WM-WF-BB04-70/Data/la,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/~/in-cse/in-name/AE-AQ/AQ-SN00-00/Data/la,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 10.3.1.117 timed out. (connect timeout=None)')",1
GET,/~/in-cse/in-name/AE-SR/SR-AC-KH03-11/Data/la,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 10.3.1.117 timed out. (connect timeout=None)')",1
