Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/~/in-cse/in-name/AE-AQ/AQ-AD95-00/Data/la,1028,2,2400.0,2913.304395844499,9.768874006113037,131045.11866199027,398.2237354085603,0.14276669967060712,0.00027775622504009164,2400,3700,3800,4000,5200,6900,11000,18000,129000,131000,131000
GET,/~/in-cse/in-name/AE-AQ/AQ-AN00-00/Data/la,1121,2,2400.0,2857.98223123908,9.876014999463223,131129.20926300285,399.2863514719001,0.15568236413497138,0.00027775622504009164,2400,3700,3800,3900,4900,6800,11000,19000,130000,131000,131000
GET,/~/in-cse/in-name/AE-AQ/AQ-BN00-00/Data/la,1060,2,2100.0,2806.0239133791856,10.330470991902985,130471.57429700019,400.2433962264151,0.14721079927124858,0.00027775622504009164,2200,3600,3800,3900,4900,6800,11000,19000,108000,130000,130000
GET,/~/in-cse/in-name/AE-AQ/AQ-FG00-00/Data/la,1150,3,2100.0,2977.0977113606873,9.392658990691416,130457.4058260041,395.96434782608696,0.1597098293980527,0.0004166343375601375,2100,3600,3800,3900,5000,7000,11000,21000,130000,130000,130000
GET,/~/in-cse/in-name/AE-AQ/AQ-KH00-00/Data/la,1071,1,2200.0,2671.7001383930215,9.91426600376144,129366.36986299709,400.62558356676004,0.14873845850896908,0.00013887811252004582,2200,3700,3800,3900,5000,6900,11000,13000,20000,129000,129000
GET,/~/in-cse/in-name/AE-AQ/AQ-KN00-00/Data/la,1014,6,2300.0,3740.22226636493,9.706992001156323,130788.90085600142,397.63313609467457,0.14082240609532648,0.000833268675120275,2300,3700,3800,3900,5000,7300,19000,36000,131000,131000,131000
GET,/~/in-cse/in-name/AE-AQ/AQ-MG00-00/Data/la,1061,2,2000.0,2709.089341691,10.32589899841696,129825.06654498866,399.2459943449576,0.14734967738376864,0.00027775622504009164,2000,3600,3800,3800,4900,6800,11000,19000,130000,130000,130000
GET,/~/in-cse/in-name/AE-AQ/AQ-PH03-00/Data/la,1061,3,2200.0,3323.2246666562964,8.92000799649395,129952.12573900062,398.86899151743637,0.14734967738376864,0.0004166343375601375,2200,3600,3800,3900,5100,7000,19000,36000,130000,130000,130000
GET,/~/in-cse/in-name/AE-AQ/AQ-PL00-00/Data/la,1072,4,2400.0,3159.7298706422544,9.125376993324608,130807.9439229914,399.50373134328356,0.14887733662148914,0.0005555124500801833,2500,3700,3800,3900,5000,6900,11000,19000,130000,131000,131000
GET,/~/in-cse/in-name/AE-AQ/AQ-SN00-00/Data/la,1091,1,2500.0,2813.60045402915,9.479035012191162,129638.93090101192,399.6333638863428,0.15151602075937,0.00013887811252004582,2500,3700,3800,4000,5000,6900,11000,19000,37000,130000,130000
