Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1694249564,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249565,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249566,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249567,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249568,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249569,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249570,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249571,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249572,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249573,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249574,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249575,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249576,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249577,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249578,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249579,377,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694249580,377,,Aggregated,0.000000,0.000000,1300,1300,1300,1300,1400,1500,1500,1500,1500,1500,1500,20,19,1300.0,1280.6503323496145,1258.5169220037642,1535.1897189975716,23.75
1694249581,377,,Aggregated,0.000000,0.000000,1300,1300,1300,1300,1500,1900,1900,1900,1900,1900,1900,22,19,1300.0,1338.0538708178474,1258.5169220037642,1931.3663760040072,66.22727272727273
1694249582,377,,Aggregated,0.500000,0.500000,1300,1900,3500,3500,3700,3800,3800,3800,3800,3800,3800,32,27,1300.0,2047.2195984684731,1258.5169220037642,3811.347390001174,136.6875
1694249583,377,,Aggregated,0.500000,0.500000,1300,3400,3600,3700,3800,3800,3900,3900,3900,3900,3900,35,30,1300.0,2200.857179171414,1258.5169220037642,3853.5390280012507,147.68571428571428
1694249584,377,,Aggregated,5.750000,4.750000,1500,3500,3800,3800,5000,5500,5600,5600,5600,5600,5600,39,31,1500.0,2518.6116427947313,1258.5169220037642,5586.236952003674,172.2051282051282
1694249585,377,,Aggregated,7.000000,6.000000,1900,3700,3800,3800,5100,5600,6600,6600,6600,6600,6600,41,31,1900.0,2718.0233163412704,1258.5169220037642,6647.453370998846,184.3170731707317
1694249586,377,,Aggregated,7.000000,6.000000,1900,3700,3800,3800,5500,6600,7200,7200,7200,7200,7200,42,31,1900.0,2824.7818915473804,1258.5169220037642,7201.883474997885,189.42857142857142
1694249587,377,,Aggregated,5.571429,4.428571,3400,3800,3900,5100,7200,8300,8600,8600,8600,8600,8600,46,33,3200.0,3300.4944631518256,1258.5169220037642,8598.636203998467,195.3913043478261
1694249588,377,,Aggregated,5.250000,3.875000,3500,3800,5500,6600,8600,9600,9800,9800,9800,9800,9800,50,33,3500.0,3811.5770888797124,1258.5169220037642,9803.79914399964,214.9
1694249589,377,,Aggregated,5.000000,3.555556,3700,5100,8000,8300,10000,11000,11000,11000,11000,11000,11000,56,33,3700.0,4516.59257339257,1258.5169220037642,10705.509290994087,237.46428571428572
1694249590,377,,Aggregated,4.600000,3.300000,3800,6600,8600,9800,11000,11000,12000,12000,12000,12000,12000,61,34,3800.0,5084.704412278608,1258.5169220037642,11840.690158001962,246.8360655737705
1694249591,377,,Aggregated,5.300000,3.300000,5600,10000,11000,12000,12000,13000,13000,13000,13000,13000,13000,77,34,5600.0,6610.918298298486,1258.5169220037642,12833.612973998243,283.0779220779221
1694249592,377,,Aggregated,5.700000,3.300000,12000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,125,34,12000.0,9230.087520071767,1258.5169220037642,13823.555658003897,333.464
1694249593,377,,Aggregated,4.500000,1.500000,14000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,270,34,14000.0,11971.726419036682,1258.5169220037642,14851.716432000103,374.05555555555554
1694249594,377,,Aggregated,6.900000,1.500000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,387,34,14000.0,12730.996797454534,1258.5169220037642,15701.970799003902,383.73643410852713
1694249595,377,,Aggregated,13.700000,0.400000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,422,34,14000.0,11841.833027580287,115.53205499512842,15970.98718000052,384.8862559241706
1694249596,377,,Aggregated,13.700000,0.400000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,422,34,14000.0,11841.833027580287,115.53205499512842,15970.98718000052,384.8862559241706
1694249597,377,,Aggregated,13.700000,0.400000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,422,34,14000.0,11841.833027580287,115.53205499512842,15970.98718000052,384.8862559241706
1694249598,377,,Aggregated,13.700000,0.400000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,422,34,14000.0,11841.833027580287,115.53205499512842,15970.98718000052,384.8862559241706
1694249599,377,,Aggregated,13.700000,0.400000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,422,34,14000.0,11841.833027580287,115.53205499512842,15970.98718000052,384.8862559241706
1694249600,377,,Aggregated,13.700000,0.400000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,422,34,14000.0,11841.833027580287,115.53205499512842,15970.98718000052,384.8862559241706
1694249601,377,,Aggregated,13.700000,0.400000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,422,34,14000.0,11841.833027580287,115.53205499512842,15970.98718000052,384.8862559241706
1694249602,377,,Aggregated,13.700000,0.400000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,422,34,14000.0,11841.833027580287,115.53205499512842,15970.98718000052,384.8862559241706
1694249603,377,,Aggregated,13.700000,0.400000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,422,34,14000.0,11841.833027580287,115.53205499512842,15970.98718000052,384.8862559241706
1694249604,377,,Aggregated,33.000000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,425,34,14000.0,11758.430774656188,19.839114997012075,15970.98718000052,384.90588235294115
1694249605,377,,Aggregated,33.000000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,425,34,14000.0,11758.430774656188,19.839114997012075,15970.98718000052,384.90588235294115
1694249606,377,,Aggregated,33.000000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,425,34,14000.0,11758.430774656188,19.839114997012075,15970.98718000052,384.90588235294115
1694249607,377,,Aggregated,33.000000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,425,34,14000.0,11758.430774656188,19.839114997012075,15970.98718000052,384.90588235294115
1694249608,377,,Aggregated,33.000000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,425,34,14000.0,11758.430774656188,19.839114997012075,15970.98718000052,384.90588235294115
1694249609,377,,Aggregated,33.000000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,425,34,14000.0,11758.430774656188,19.839114997012075,15970.98718000052,384.90588235294115
1694249610,377,,Aggregated,33.000000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,425,34,14000.0,11758.430774656188,19.839114997012075,15970.98718000052,384.90588235294115
1694249611,377,,Aggregated,33.000000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,425,34,14000.0,11758.430774656188,19.839114997012075,15970.98718000052,384.90588235294115
1694249612,377,,Aggregated,33.000000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,425,34,14000.0,11758.430774656188,19.839114997012075,15970.98718000052,384.90588235294115
1694249613,377,,Aggregated,0.300000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,426,34,14000.0,11730.901438328343,19.839114997012075,15970.98718000052,384.88497652582157
1694249614,377,,Aggregated,0.300000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,428,34,14000.0,11676.198881420276,19.839114997012075,15970.98718000052,384.92056074766356
1694249615,377,,Aggregated,0.300000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,428,34,14000.0,11676.198881420276,19.839114997012075,15970.98718000052,384.92056074766356
1694249616,377,,Aggregated,0.300000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,428,34,14000.0,11676.198881420276,19.839114997012075,15970.98718000052,384.92056074766356
1694249617,377,,Aggregated,0.300000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,428,34,14000.0,11676.198881420276,19.839114997012075,15970.98718000052,384.92056074766356
1694249618,377,,Aggregated,0.300000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,428,34,14000.0,11676.198881420276,19.839114997012075,15970.98718000052,384.92056074766356
1694249619,377,,Aggregated,0.300000,0.000000,14000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,428,34,14000.0,11676.198881420276,19.839114997012075,15970.98718000052,384.92056074766356
